,Environmental Criteria (2nd Dimension),,,,,,,,,,,,,,,,product certification (b2c),,,,,,,,
,Criteria name,Criteria question,Response options,Explanation of criteria,Scoring,Overall Scoring,BEPI,BSCI,ETI,GLOBALG.A.P,GSCP,GRI,FLA,SA 8000,SAI Platform,SGF,EU organic,FFL,Fairtrade,FSC,Global Coffee Platform (4C),MSC,Rainforest Alliance,RSPO,UTZ
,Use of chemicals and pesticides,,,,,,,,,,,,,,,,,,,,,,,,
2.1.1,Use of hazardous chemicals,"Does the scheme prohibit or restrict the use of hazardous chemicals as defined by international conventions (Stockhold and Rotterdam convention, WHO class 1a and 1b, REACH candidate list)? ",,"Red: The use of hazardous chemicals  (refer to ""dirty dozen"" of PAN http://www.pesticideinfo.org/Docs/ref_toxicity7.html) is not restricted or prohibited; Yellow: The use of hazardous chemicals (Pan dirty dozen)  is restricted and/or recommendations exist to phase out the use of such substances; Green: The use of hazardous chemicals is prohibited","Red, Yellow,Green",,"Environmental Management System (EMS) is mandatory and at the core of the standard. It enables a site to identify, monitor and control its impacts on the environment.  BEPI does not focus on producers and thus does not comprise specific criteria on biodiversity, environmental conservation, the use of genetically modified organisms (GMO) or other criteria for sustainable agriculture ",No focus,No focus,"The use of hazardous chemicals is prohibited only, if national legistlation ratified respective international conventions","yes, compliance with prohibited chemicals list, e.g. agrochemicals from the WHO",no reporting requirements,No focus,No focus,only recommendation to phase out hazardous chemicals as defined per international organizations,No explicit criteria,Yes,"yes, list of prohibited agrochemicals with reference to international conventions (Rotterdam, Stockholm)",yes,N.A.,yes,"N.A. for all criteria, because they do not apply to fisheries ","yes, use of chemicals in general should be phased out and instead use of organic materials","yes, except in specific situation identified in national Best Practice guidelines",Yes
2.1.1,,,,,,detailed scoring,0,0,0,0,1,0,0,0,1,0,2,1,1,0,1,0,1,1,1
2.1.2,Use of pesticides,Does the scheme include criteria on Integrated Pest Management (IPM) or other ways to systematically reduce the use of chemical pesticides?,,Red: The scheme does not require Integrated Pest Management (IPM) or other ways to systematically reduce the use of chemical pesticides; Yellow: The scheme  recommends Integrated Pest Management (IPM) or other ways to systematically reduse the use of chemical pesticides ; Green: The  scheme bans the use of synthetical pesticides (organic production) . ,"Red, Yellow,Green",,,,,Yes,"criteria on proactive management to maintain soil fertility, avoid soil erosion and promote soil and biodiversity recover only at level 2 of standard",reporting on direct and indirect impacts on biodiversity,,,"only recommends ""economiccally justifiable"" crop rotation and IPM",,yes,"yes, IPM system adapted to the local contect, but only after 3 years","yes, IPM and adequate training are included but only compulsory after 3 years","yes, and use of pesticide shall be phased out",yes,,yes,"yes, but only recommendation",yes
2.1.2,,,,,,detailed scoring,0,0,0,1,0,1,0,0,1,0,2,1,1,1,1,0,1,1,1
,"Scoring with points (Green = 2; Yellow = 1; Red = 0, Grey = No scoring)",,,,Max score= 6,,0,0,0,1,1,1,0,0,2,0,4,2,2,1,2,0,2,2,2
,Ecofriendly production,,,,,,,,,,,,,,,,,,,,,,,,
2.2.1,Crop rotation and biodiversity,Does the standard include criteria on crop rotation or other criteria supporting sustainable use of soil and agricultural diversity?,,"Red: The scheme does not include criteria on crop rotation or maintenance of biodiversity in / on the fields; Yellow: The scheme only recommends criteria on crop rotation or maintenance of biodiversity; Green: the scheme requires criteria on crop rotation and othe measures to maintenan of biodiversity (e.g. hedgrows, intercropping, fallow land managment,...)","Red, Yellow,Green",,,,,yes,"criteria on proactive management to maintain soil fertility, avoid soil erosion and promote soil and biodiversity recover only at level 2 of standard",reporting on direct and indirect impacts on biodiversity,,,"only recommends ""economiccally justifiable"" crop rotation and IPM",,yes,"yes, , synthetic fertilisers are not used as the sole measure for 
maintaining soil fertility. Adequate overall soil fertility management to ensure long 
term productivity (crop rotation, use of leguminous crops, 
observation of soil life and structure) ","yes, reporting on activities  to protect and enhance biodiversity and preventive measures (inlcuding crop rotation), but only after 3 to 6 years",N.A.,N.A.,,"biodiversity conservation , soil conservation and management (including crop rotation)",N.A,no explicit criteria
2.2.1,,,,,,detailed scoring,0,0,0,1,0,1,0,0,1,0,2,1,1,0,0,0,2,0,0
2.2.2,Biodiversity and Deforestation,"Does the standard exclude areas for which valuable ecosystems (forests, peat,â€¦) have been destroyed? ",,Red: no criteria Yellow: criteria that only cover recently deforested land (<5 years) OR criteria that prevent the destruction of valuable ecosystems. Green: Crteiria that prevent use of  land that has been deforested in the last 20 years AND criteria that prohibt the destruction of valuable ecosystems e.g. peat land,"Red, Yellow, Green",,,,,,,,,,,,,,,,,,,,
2.2.2,,,,,,detailed scoring,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,2,2,1
2.2.3,GMOs,Does the scheme prohibit the use of genetically modified organisms (GMOs)?,,Red: The use of GMOs is not prohibited or resitricted; Yellow: the use of GMOs is restricted (e.g. no GMO crop / speoces but GMO feed) ; Green: The use of GMOs is prohibited,"Red, Yellow,Green",,,,,"No, but GMO use has to be documented",No,no reporting requirements,,,"no prohibition, only recommendation to label GMO crops and products",,yes,yes,yes,yes ,yes,use of GMO fish is prohibites; use of GMO feed has to be declared,yes,N.A,No
2.2.3,,,,,,detailed scoring,0,0,0,0,0,0,0,0,1,0,2,2,2,2,2,1,2,0,0
2.2.4,Environmental Impact Assessment,Does the scheme include criteria for conducting environmental impact assessments (EIA)?,,Red: The scheme does not include criteria on EIA. Yellow: The scheme only recommends to conduct EIA; Green: The scheme requires to conduct reguar EIA.,"Red, Yellow,Green",,,,,"Each producer has a wildlife management and conservation plan that acknowledges the impact of farming on the environment, environmental risk assessments are conducted.","Environmental Management System (EMS) is established, documented, implemented, maintained
and continually reviewed/improved (includes EIA) at level 2 (proactive management)",reporting on negative environmental impacts in the supply chain and actions taken,,,No,,No,As part of the Ecosystem Management and related audits companies have to demonstrate food knowledge and documentation of ecosystems and key potential threatening conditions or threats to these ecosystems.,"Avoidance of negative impacts on protected areas and in areas with high conservation value within or outside the farm or production areas, but no systematic EMS or EIA","Yes, (direct and indirect) environmental impact assessments are required, while the scale should be appropriate to the scale of the operation",no ,,"The potential social and environmental impacts of new works or activities must be evaluated, but not systematic EMS or EIA","EIA shall be documented and environmental imapcts identified, and plans to mitigate the negative impacts and promote positive ones are made, implemendeted and monitored","A risk assessment is a requirement, inclduing environmental aspects related to control point (more specific climate change risk assessment)"
2.2.4,,,,,,detailed scoring,0,0,0,2,0,1,0,0,0,0,0,2,1,1,0,0,1,2,2
2.2.5,Legal compliance,Does the scheme require legal compliance with relevant environmental laws and regulations?,,yes or no,No scoring,,,,,Yes,Yes,reporting on non-compliance with environmental laws and regulations,,,No,,yes,yes,yes,yes,no,,no explicit criteria,yes,yes
2.2.5,,,,,,detailed scoring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Scoring with points (Green = 2; Yellow = 1; Red = 0;  Grey = No scoring),,,,Max score= 6,,0,0,0,3,0,3,0,0,2,0,4,5,6,5,2,1,7,4,3
,Water/Energy Use and Emissions,,,,,,,,,,,,,,,,,,,,,,,,
2.3.1,Water use,Does the scheme require the monitoring and efficient use of water (and wastewater) in production? ,,Red: The monitoring and efficient use of water is not explicitely regulated; Yellow: The monitoring and efficient use of water is recommended; Green: the monitoring and efficient use of water is required,"Red, Yellow,Green",,,,,"Yes, a written and mplemented action plan, approved by the management within the previous 12 months is required, which identifies water sources and measures to ensure efficient use and application",water consumption is monitored and at higher level (2) improved efficiency,"Disclosure of water discharge by quality and destination, water by type and disposal method, and water bodies affected by water discharges and/or runoff",,,"recommends to monitor wate use and to creat a water management on ""advanced level""",,No,"yes, criteria on adequate water use and minimzing water usage",monitoring and efficient water use are required as development criteria after 3 years,"no, but protection of natural water courses","yes, monitoring and documentation of water use to ensure efficient use",ASC,water convervation plans including the reduction of water use per unit of production,Mill water use per tonne of Fresh Fruit Bunches shall be monitored. No increased efficiency required. No thresholds defined.,"documented measures in place for efficient water use in production and processing, but only after 4 years"
2.3.1,,,,,,detailed scoring,0,0,0,1,1,2,0,0,1,0,0,2,1,0,2,2,2,1,1
2.3.2,Energy use and emissions,Does the scheme include criteria on monitroing energy use and/or GHG emissions?,,Red: The monitoring of energy use and/or GHG emissions is not regulated; Yellow: The monitoring of energy use and/or GHG emissions is recommended but not compulsory OR there are no regulations on how to do and document it; Green: The monitoring of energy use and/or GHG emissions is required AND the method to do so clearly described (or refernced to existing and established methodology). ,"Red, Yellow,Green",,,,,On-farm energy use is recorded. Improvement of energy efficiency and minimization of the use of non-renewable energy is recommended; No criteria on the systematic monitoring and reduction of GHG emissions from farm activity,"Yes, tracking of energy consumption and calculation of GHG emissions","reporting on direct and indirect energy consumption (within the organisation and outside) and GHG emissions, as well as measures undertaken in terms of reduction",,,recommendation to estimate and reduce GHG emissions with Cool Farm Tool,"Vage: Suppliers shall identify negative environmental impacts of their activities (e.g. transport, waste management, energy use, emissions, etc.)",No,energy consumption is monitored and appropriate steps taken to minimize consumpation and use of sunstainble renewable energy wherever possible; GHG emissions are not systematically monitored,"energy consumption is monitored and measures taken to use energy more efficiently and replace non-renewable sources by renewable ones as far as possible, reporting on measures taken to reduce GHG emissions, but only after 3 to 6 years",no,Standard includes criteria on monitoring and minimization of energy use. No criteria on GHG emissions,ASC,"energy efficiency plan. inlcuding  quantity and type of energy sources and associated machinery used for production, processing, and domestic use, as well as targets for increasing energy efficiencv and for reducing dependency on non-renewable energy sources. But only criteria to reduce direct and indirect effects when using biomass energy when it comes to GHG ","yes, monitoring and reducing carbon emissions","No criteria related to GHG emissions. Measures are taken to increase energy efficiency in production and processing, and where appropriate, climate smart energy sources are used, but only after 3 years"
2.3.2,,,,,,detailed scoring,0,0,0,0,1,2,0,0,1,0,0,1,1,0,1,1,2,2,1
2.3.3,Energy use and emissions,Does the scheme include criteria on reducing GHG emissions?,,Red: No criteria; Yellow: recomandations to reduce GHG ;Green: measures requiered to reduce GHG OR Criteria included that prevent GHG (e.g. exclusion of fossil fules to heat glashouses),,,,,,,,,,,,,,,,,,,,,
2.3.3,,,,,,detailed scoring,,,,,,,,,,,,,,,,,,,
,Scoring with points (Green = 2; Yellow = 1; Red = 0;  Grey = No scoring),,,,Max Score = 4,,0,0,0,1,2,4,0,0,2,0,0,3,2,0,3,3,4,3,2
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,MaxScore,,BEPI,BSCI,ETI,GLOBALG.A.P,GSCP,GRI,FLA,SA 8000,SAI Platform,SGF,EU organic,FFL,Fairtrade ,FSC,Global Coffee Platform (4C),MSC,Rainforest Alliance,RSPO ,UTZ
,,,,Use of chemicals and pesticides,4,,0,0,0,1,1,1,0,0,2,0,4,2,2,1,2,0,2,2,2
,,,,Ecofriendly production,6,,0,0,0,3,0,3,0,0,2,0,4,5,6,5,2,1,7,4,3
,,,,Energy/Water Use and Emissions,4,,0,0,0,1,2,4,0,0,2,0,0,3,2,0,3,3,4,3,2
,,,,Overall score Environmental,14,,0,0,0,5,3,8,0,0,6,0,8,10,10,6,7,4,13,9,7
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,MaxScore,,BEPI,BSCI,ETI,GLOBALG.A.P,GSCP,GRI,FLA,SA 8000,SAI Platform,SGF,EU organic,FFL,Fairtrade ,FSC,Global Coffee Platform (4C),MSC,Rainforest Alliance,RSPO ,UTZ
,,,,Use of chemicals and pesticides,4,,0.0%,0.0%,0.0%,25.0%,25.0%,25.0%,0.0%,0.0%,50.0%,0.0%,100.0%,50.0%,50.0%,25.0%,50.0%,0.0%,50.0%,50.0%,50.0%
,,,,Ecofriendly production,6,,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%,0.0%,33.3%,0.0%,66.7%,83.3%,100.0%,83.3%,33.3%,16.7%,116.7%,66.7%,50.0%
,,,,Energy/Water Use and Emissions,4,,0.0%,0.0%,0.0%,25.0%,50.0%,100.0%,0.0%,0.0%,50.0%,0.0%,0.0%,75.0%,50.0%,0.0%,75.0%,75.0%,100.0%,75.0%,50.0%
,,,,Overall score Environmental,14,,0.0%,0.0%,0.0%,35.7%,21.4%,57.1%,0.0%,0.0%,42.9%,0.0%,57.1%,71.4%,71.4%,42.9%,50.0%,28.6%,92.9%,64.3%,50.0%
